Order City,Apparel,Book Shop,Discs Shop,Fan Shop,Fitness,Footwear,Golf,Health and Beauty ,Outdoors,Pet Shop,Technology
Douarnenez,3.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
Dourados,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
Dover,19.0,0.0,0.0,16.0,1.0,8.0,10.0,0.0,0.0,0.0,0.0
Draguignan,7.0,0.0,2.0,11.0,2.0,3.0,4.0,0.0,3.0,0.0,0.0
Drammen,10.0,0.0,0.0,10.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0
Drancy,17.0,2.0,0.0,22.0,1.0,4.0,12.0,0.0,6.0,0.0,2.0
Draper,2.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Dresden,49.0,0.0,0.0,60.0,2.0,11.0,24.0,0.0,14.0,0.0,3.0
Dreux,7.0,0.0,0.0,12.0,0.0,5.0,11.0,0.0,4.0,0.0,5.0
Drobeta-Turnu Severin,1.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Drogobych,1.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Dronfield,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Dubbo,12.0,0.0,1.0,29.0,1.0,8.0,6.0,2.0,6.0,0.0,0.0
Dublín,114.0,4.0,10.0,132.0,5.0,35.0,80.0,0.0,20.0,0.0,14.0
Dubuque,4.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
Dudley,22.0,2.0,0.0,40.0,0.0,3.0,16.0,0.0,5.0,0.0,1.0
Duisburg,49.0,4.0,0.0,97.0,3.0,14.0,36.0,0.0,13.0,0.0,20.0
Duitama,4.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
Dumai,5.0,0.0,3.0,9.0,1.0,3.0,3.0,0.0,3.0,2.0,0.0
Dundee,9.0,0.0,0.0,16.0,0.0,3.0,9.0,0.0,2.0,0.0,0.0
Dunedin,15.0,0.0,0.0,23.0,0.0,5.0,15.0,0.0,1.0,0.0,0.0
Dunstable,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Duque de Caxias,8.0,0.0,0.0,22.0,0.0,2.0,9.0,0.0,1.0,0.0,0.0
Durango,28.0,0.0,0.0,38.0,1.0,10.0,19.0,0.0,5.0,0.0,0.0
Durban,5.0,0.0,0.0,13.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0
